userid,list_id,category,list_type,title,description,source_url,list_photo,,
13,128,Career,number,5 Ways to Curb Your Work-Related Anxiety,"Whether you're intimidated by your boss or feeling like you've just got way too much on your plate, you'll want to find some ways to manage your stress so that it's not debilitating.",https://www.popsugar.com/career/How-Can-I-Curb-My-Anxiety-Work-43567528,https://media1.popsugar-assets.com/files/thumbor/57uuglTKzqr_2OC09SRB53Cc7Zo/fit-in/2048xorig/filters:format_auto-!!-:strip_icc-!!-/2017/05/23/759/n/42301552/0b7cbe2f0ad5c337_workplace.jpg,,
17,129,Kids,number,4 Healthy Lunch Ideas for Kids,Kids cannot live on bread (slathered with PB and J) alone. Here are four healthy new ideas to avenge lunchtime boredom.,https://www.realsimple.com/food-recipes/recipe-collections-favorites/quick-easy/lunch-ideas-for-kids,https://cdn-image.realsimple.com/sites/default/files/styles/portrait_435x518/public/avocado-rollups.jpg?itok=GwdAOHoB,,
14,130,Music,number,The Best Music Festivals in 2017,"Check out our ever-growing, always-updating, comprehensive directory of music festivals!",https://seatgeek.com/tba/festivals/music-festivals/,https://chairnerd.global.ssl.fastly.net/tba/wp-content/uploads/2013/07/houston-music-festivals-67297-e1402422776235.jpg,,
16,131,Home,number,6 Steps to Creating a Budget,"Creating an effective budget that lasts can be a challenge. Let’s face it. Budgets can be exhausting and intimidating, but they are an essential component of a family’s healthy financial plan.",http://www.cozi.com/blog/6-steps-creating-budget/#addtocozi,http://www.cozi.com/wp-content/uploads/2016/03/FamilyPiggyBanks.jpg,,
15,132,Music,number,25 Music Festivals You Need to Attend ,"Festival season is coming soon and we have all the details you need to know about Coachella, Bonnaroo, Warped Tour, Voodoo, ACL, Lollapalooza and each major music event in North America this year.",http://www.fuse.tv/2017/01/best-music-festivals-2017,http://www.fuse.tv/image/5875417aabea28df05000039/816/545/undefined.jpg,,
16,133,Kids,bullet,Spring Cleaning Chore List for the Kids,"Need a great idea for getting the kids to help on spring cleaning day without the drama? Hand over a list of “to dos” and have the kids check off as they go. Once everything is checked, then they are free to play.",http://www.cozi.com/blog/spring-cleaning-chore-list-kids/#addtocozi,http://www.cozi.com/wp-content/uploads/2016/01/kidsrainboots580.jpg,,
17,134,Home,number,An 8-Point Guide to a Feng Shui House,Each spot in your home is associated with a different aspect of your life. Here’s a beginner’s guide to cultivating positive energy in every zone.,https://www.realsimple.com/home-organizing/decorating/feng-shui-house,https://cdn-image.realsimple.com/sites/default/files/feng-shui.jpg,,
18,135,Career,number,5 Best Online Businesses to Start This Year ,The internet provides a number of opportunities for aspiring entrepreneurs.,https://www.entrepreneur.com/article/294938,https://assets.entrepreneur.com/content/16x9/822/20170525203410-GettyImages-645793121.jpeg,,
19,136,Pets,bullet,Puppy Checklist: Getting off to a Great Start,"Few events are as exciting in life as the addition of a new furry friend. With a new pet comes great responsibility, and great mountains of puppy supplies. Preparation is the key to a successful transition.",http://www.petmd.com/dog/care/evr_dg_new_puppy_supplies_puppy_checklist#,http://www.petmd.com/sites/default/files/new-puppy-checklist.jpg,,
20,137,Pets,bullet,10 Reasons Pets Are Good for Kids,"There are so many benefits that pets provide for kids! It's easy for kids to get wrapped up in the idea of owning a new pet, but it's up to their parents to make sure the experience is a positive one and that the pets receive the care they need for their entire lives.",http://www.oprah.com/relationships/10-reasons-pets-are-good-for-kids,http://static.oprah.com/images/relationships/201006/20100608-child-and-pet-220x312.jpg,,
